Week,Sched Games,Sched Byes,Unsched Games,Unsched Byes,Unsched Teams,Team1,Team2,Team3,Team4
3,14,0,29,0,4,eagles,jets,Cardinals,Rams,S:1:cow:red:0.6084249084249084:0.0,S:2:jag:tex:0.12326971274339707:0.0,S:3:pan:ben:0.4812755871579401:0.0,U:tit:col:0.6549643339117024:0.0:0,U:pan:buc:0.5057422969187677:0.0:0,U:49e:car:0.19706959706959723:0.0:0
3,13,0,30,0,6,cowboys,jaguars,panthers,Broncos,49ers,Ravens,S:1:buc:eag:0.05805860805860805:0.0,S:2:jet:pac:0.15105070368228257:0.0,S:3:car:bea:0.09557109557109555:0.0,U:tit:col:0.8304029304029306:0.0:0,U:pan:buc:0.48333333333333345:0.0:0,U:49e:car:0.21828171828171844:0.0:0
3,15,0,28,0,2,colts,Cardinals,S:1:cow:red:0.6084249084249084:0.0,S:2:jag:tex:0.12326971274339707:0.0,S:3:pan:ben:0.4812755871579401:0.0,U:tit:col:2.497069597069597:0.0:0,U:pan:buc:0.5057422969187677:0.0:0,U:49e:car:0.21245421245421262:0.0:0
3,15,0,28,0,2,jaguars,panthers,S:1:col:bil:0.011904761904761918:0.0,S:2:car:bea:0.08246708246708245:0.0,S:3:lio:ram:0.010416666666666685:0.0,U:tit:col:0.5923076923076924:0.0:0,U:pan:buc:0.8166666666666667:0.0:0,U:49e:car:0.20517770517770534:0.0:0
3,15,0,28,0,2,giants,eagles,S:1:jag:tex:0.11575091575091587:0.0,S:2:pan:ben:0.4719876614613457:0.0,S:3:col:bil:0.00490196078431375:0.0,U:tit:col:0.6147166558931267:0.0:0,U:pan:buc:0.49335839598997505:0.0:0,U:49e:car:0.7637362637362639:0.0:0
3,14,0,29,0,4,cowboys,jets,jaguars,falcons,S:1:col:gia:0.06959706959706957:0.0,S:2:buc:eag:0.06771111771111771:0.0,S:3:vik:bil:0.007575757575757597:0.0,U:tit:col:0.5923076923076924:0.0:0,U:pan:buc:0.4962033462033464:0.0:0,U:49e:car:0.29706959706959724:0.0:0
3,15,0,28,0,2,Cardinals,Rams,S:1:cow:red:0.6084249084249084:0.0,S:2:jet:pac:0.15105070368228257:0.0,S:3:jag:tex:0.13523143523143535:0.0,U:tit:col:0.5879786879786881:0.0:0,U:pan:buc:0.5260262725779967:0.0:0,U:49e:car:0.29706959706959724:0.0:0
3,15,0,28,0,2,jaguars,panthers,S:1:car:bea:0.06959706959706957:0.0,S:2:lio:ram:-0.0022522522522522292:0.0,S:3:sai:bro:0.026257076257076267:0.0,U:tit:col:0.6350006315523558:0.0:0,U:pan:buc:0.8166666666666667:0.0:0,U:49e:car:0.19230769230769246:0.0:0
3,14,0,29,0,4,cowboys,jets,patriots,colts,S:1:jag:tex:0.11575091575091587:0.0,S:2:pan:ben:0.4719876614613457:0.0,S:3:vik:bil:0.00490196078431375:0.0,U:tit:col:1.1637362637362638:0.0:0,U:pan:buc:0.49335839598997505:0.0:0,U:49e:car:0.3470695970695972:0.0:0
4,15,2,43,0,0,0,0,S:2:chi:cha:-0.10359248594542718:0.0,S:3:sai:eag:-0.0421522921522921:0.0,S:4:bro:pan:-0.0110722610722611:0.0,U:tit:col:0.42649017649017645:0.0:0,U:pan:buc:0.17191142191142186:0.0:0,U:49e:car:0.142263986013986:0.0:0
