FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count 
3.5443351842076E13,4,91691,0,2.9374536682088E13,2
3.5443351842076E13,4,91691,-1,-1,2
3.5290738066916E13,4,91693,0,2.9374536682088E13,3
3.5290738066916E13,4,91693,-1,-1,3
3.5300103037468E13,4,91695,0,2.9374536682088E13,3
3.5300103037468E13,4,91695,-1,-1,3
3.5147489262308E13,4,91697,0,2.9374536682088E13,4
3.5147489262308E13,4,91697,-1,-1,4
3.5300103037468E13,4,91699,0,2.9374536682088E13,4
3.5300103037468E13,4,91699,-1,-1,4
3.5300103037468E13,4,91701,0,2.9374536682088E13,5
3.5300103037468E13,4,91701,-1,-1,5
3.5300103037468E13,4,91703,0,2.9374536682088E13,6
3.5300103037468E13,4,91703,-1,-1,6
3.5443351842076E13,4,91705,0,2.9374536682088E13,3
3.5443351842076E13,4,91705,-1,-1,3
3.5443351842076E13,4,91707,0,2.9374536682088E13,4
3.5443351842076E13,4,91707,-1,-1,4
2.9374536682088E13,5,91713,0,2.2772249071871E13,2
2.9374536682088E13,5,91713,-1,-1,2
2.9678791431666E13,5,91718,0,2.2772249071871E13,4
2.9678791431666E13,5,91718,-1,-1,4
2.9374536682088E13,5,91723,0,2.2772249071871E13,3
2.9374536682088E13,5,91723,-1,-1,3
2.9374536682088E13,5,91728,0,2.2772249071871E13,4
2.9374536682088E13,5,91728,-1,-1,4
2.2234841187935E13,6,91730,0,1.7242729365839E13,2
2.2234841187935E13,6,91730,-1,-1,2
2.2234841187935E13,6,91731,0,1.7242729365839E13,3
2.2234841187935E13,6,91731,-1,-1,3
2.2234841187935E13,6,91732,0,1.7242729365839E13,4
2.2234841187935E13,6,91732,-1,-1,4
2.2234841187935E13,6,91733,0,1.7242729365839E13,5
2.2234841187935E13,6,91733,-1,-1,5
2.2234841187935E13,6,91734,0,1.7242729365839E13,6
2.2234841187935E13,6,91734,-1,-1,6
2.2234841187935E13,6,91735,0,1.7242729365839E13,7
2.2234841187935E13,6,91735,-1,-1,7
2.2234841187935E13,6,91736,0,1.7242729365839E13,8
2.2234841187935E13,6,91736,-1,-1,8
2.2234841187935E13,6,91737,0,1.7242729365839E13,9
2.2234841187935E13,6,91737,-1,-1,9
2.2234841187935E13,6,91738,0,1.7242729365839E13,10
2.2234841187935E13,6,91738,-1,-1,10
2.2234841187935E13,6,91739,0,1.7242729365839E13,11
2.2234841187935E13,6,91739,-1,-1,11
2.2234841187935E13,6,91740,0,1.7242729365839E13,12
2.2234841187935E13,6,91740,-1,-1,12
2.2234841187935E13,6,91741,0,1.7242729365839E13,13
2.2234841187935E13,6,91741,-1,-1,13
2.2234841187935E13,6,91742,0,1.7242729365839E13,14
2.2234841187935E13,6,91742,-1,-1,14
2.2234841187935E13,6,91743,0,1.7242729365839E13,15
2.2234841187935E13,6,91743,-1,-1,15
2.2234841187935E13,6,91744,0,1.7242729365839E13,16
2.2234841187935E13,6,91744,-1,-1,16
2.2234841187935E13,6,91745,0,1.7242729365839E13,17
2.2234841187935E13,6,91745,-1,-1,17
2.2234841187935E13,6,91746,0,1.7242729365839E13,18
2.2234841187935E13,6,91746,-1,-1,18
2.2234841187935E13,6,91747,0,1.7242729365839E13,19
2.2234841187935E13,6,91747,-1,-1,19
2.2234841187935E13,6,91748,0,1.7242729365839E13,20
2.2234841187935E13,6,91748,-1,-1,20
2.2234841187935E13,6,91749,0,1.7242729365839E13,21
2.2234841187935E13,6,91749,-1,-1,21
2.2234841187935E13,6,91750,0,1.7242729365839E13,22
2.2234841187935E13,6,91750,-1,-1,22
1.7203878336875E13,7,91751,0,1.301416210832E13,1
2.2991142120251E13,6,91758,0,1.7203878336875E13,1
2.9365903567773E13,5,91760,0,2.2991142120251E13,1
3.5511374979853E13,4,91761,0,2.9365903567773E13,1
3.5511374979853E13,4,91783,0,2.9365903567773E13,2
3.5511374979853E13,4,91783,-1,-1,2
3.5193620864909E13,4,91784,0,2.9365903567773E13,1
3.5193620864909E13,4,91806,0,2.9365903567773E13,2
3.5193620864909E13,4,91806,-1,-1,2
3.5193620864909E13,4,91807,0,2.9365903567773E13,3
3.5193620864909E13,4,91807,-1,-1,3
3.5193620864909E13,4,91808,0,2.9365903567773E13,4
3.5193620864909E13,4,91808,-1,-1,4
3.5193620864909E13,4,91809,0,2.9365903567773E13,5
3.5193620864909E13,4,91809,-1,-1,5
3.5193620864909E13,4,91810,0,2.9365903567773E13,6
3.5193620864909E13,4,91810,-1,-1,6
3.5193620864909E13,4,91811,0,2.9365903567773E13,7
3.5193620864909E13,4,91811,-1,-1,7
3.5511374979853E13,4,91812,0,2.9365903567773E13,3
3.5511374979853E13,4,91812,-1,-1,3
3.5193620864909E13,4,91813,0,2.9365903567773E13,8
3.5193620864909E13,4,91813,-1,-1,8
3.5511374979853E13,4,91814,0,2.9365903567773E13,4
3.5511374979853E13,4,91814,-1,-1,4
3.5511374979853E13,4,91815,0,2.9365903567773E13,5
3.5511374979853E13,4,91815,-1,-1,5
3.5511374979853E13,4,91816,0,2.9365903567773E13,6
3.5511374979853E13,4,91816,-1,-1,6
3.5511374979853E13,4,91817,0,2.9365903567773E13,7
3.5511374979853E13,4,91817,-1,-1,7
3.5193620864909E13,4,91818,0,2.9365903567773E13,9
3.5193620864909E13,4,91818,-1,-1,9
3.5511374979853E13,4,91819,0,2.9365903567773E13,8
3.5511374979853E13,4,91819,-1,-1,8
3.5511374979853E13,4,91820,0,2.9365903567773E13,9
3.5511374979853E13,4,91820,-1,-1,9
3.5511374979853E13,4,91821,0,2.9365903567773E13,10
